frame_id,source_file,frame_number,timestamp_seconds,frame_path,width,height,split
blurred-no_presence_f000000,tests/footage/blurred-no_presence.mp4,0,0.0,evaluation/frames/blurred-no_presence_f000000.jpg,688,480,evaluation
blurred-no_presence_f000139,tests/footage/blurred-no_presence.mp4,139,3.82354,evaluation/frames/blurred-no_presence_f000139.jpg,688,480,evaluation
blurred-no_presence_f000278,tests/footage/blurred-no_presence.mp4,278,7.64708,evaluation/frames/blurred-no_presence_f000278.jpg,688,480,evaluation
blurred-no_presence_f000417,tests/footage/blurred-no_presence.mp4,417,11.470619,evaluation/frames/blurred-no_presence_f000417.jpg,688,480,evaluation
blurred-no_presence_f000556,tests/footage/blurred-no_presence.mp4,556,15.294159,evaluation/frames/blurred-no_presence_f000556.jpg,688,480,evaluation
blurred-presence_f000000,tests/footage/blurred-presence.mp4,0,0.0,evaluation/frames/blurred-presence_f000000.jpg,816,368,evaluation
blurred-presence_f000547,tests/footage/blurred-presence.mp4,547,9.159147,evaluation/frames/blurred-presence_f000547.jpg,816,368,evaluation
blurred-presence_f001094,tests/footage/blurred-presence.mp4,1094,18.318295,evaluation/frames/blurred-presence_f001094.jpg,816,368,evaluation
blurred-presence_f001641,tests/footage/blurred-presence.mp4,1641,27.477442,evaluation/frames/blurred-presence_f001641.jpg,816,368,evaluation
blurred-presence_f002188,tests/footage/blurred-presence.mp4,2188,36.636589,evaluation/frames/blurred-presence_f002188.jpg,816,368,evaluation
clear-no_presence_f000000,tests/footage/clear-no_presence.mp4,0,0.0,evaluation/frames/clear-no_presence_f000000.jpg,832,464,evaluation
clear-no_presence_f000432,tests/footage/clear-no_presence.mp4,432,11.46878,evaluation/frames/clear-no_presence_f000432.jpg,832,464,evaluation
clear-no_presence_f000864,tests/footage/clear-no_presence.mp4,864,22.937559,evaluation/frames/clear-no_presence_f000864.jpg,832,464,evaluation
clear-no_presence_f001296,tests/footage/clear-no_presence.mp4,1296,34.406339,evaluation/frames/clear-no_presence_f001296.jpg,832,464,evaluation
clear-no_presence_f001728,tests/footage/clear-no_presence.mp4,1728,45.875119,evaluation/frames/clear-no_presence_f001728.jpg,832,464,evaluation
clear-presence_f000000,tests/footage/clear-presence.mp4,0,0.0,evaluation/frames/clear-presence_f000000.jpg,576,640,evaluation
clear-presence_f000243,tests/footage/clear-presence.mp4,243,10.938746,evaluation/frames/clear-presence_f000243.jpg,576,640,evaluation
clear-presence_f000486,tests/footage/clear-presence.mp4,486,21.877492,evaluation/frames/clear-presence_f000486.jpg,576,640,evaluation
clear-presence_f000729,tests/footage/clear-presence.mp4,729,32.816238,evaluation/frames/clear-presence_f000729.jpg,576,640,evaluation
clear-presence_f000972,tests/footage/clear-presence.mp4,972,43.754985,evaluation/frames/clear-presence_f000972.jpg,576,640,evaluation
blurred-presence-multi,tests/image/blurred-presence-multi.jpg,,,evaluation/frames/blurred-presence-multi.jpg,300,168,evaluation
blurred-presence,tests/image/blurred-presence.jpg,,,evaluation/frames/blurred-presence.jpg,300,168,evaluation
clear-presence-multi,tests/image/clear-presence-multi.jpg,,,evaluation/frames/clear-presence-multi.jpg,1300,956,evaluation
clear-presence,tests/image/clear-presence.jpg,,,evaluation/frames/clear-presence.jpg,768,432,evaluation
